токен	книга_hex	строка_книги	calc_знач	calc_использ	report_знач	report_использ	index_знач	index_использ	статус
--c-v-300	#C7B9EC	89	#C7B9EC	0	#C7B9EC	0	#C7B9EC	0	ok
--c-v-50	#F8F5FE	88	#F8F5FE	0	#F8F5FE	1	#F8F5FE	0	ok
--c-v-500	#8B5CF6	90	#8B5CF6	1	#8B5CF6	0	#8B5CF6	2	ok
--c-v-700	#6D3FD4	91	#6D3FD4	0	#6D3FD4	1	#6D3FD4	0	ok
--c-white	#FFFFFF	28	#FFFFFF	59	#FFFFFF	57	#FFFFFF	7	ok
--c1			var(--c-g-500)	0		0	var(--c-g-500)	0	нет_в_книге
--c2			var(--c-r-500)	0		0	var(--c-r-500)	0	нет_в_книге
--c3			var(--c-a-400)	0		0	var(--c-a-400)	0	нет_в_книге
--c4			var(--c-v-500)	0		0	var(--c-v-500)	0	нет_в_книге
--c5			var(--c-b-500)	0		0	var(--c-b-500)	0	нет_в_книге
--g			var(--c-g-500)	11	var(--c-g-500)	3	var(--c-g-500)	0	нет_в_книге
--gd			var(--c-g-700)	12	var(--c-g-700)	9	var(--c-g-700)	0	нет_в_книге
--gl			var(--c-g-100)	4	var(--c-g-100)	9	var(--c-g-100)	0	нет_в_книге
--gr			var(--c-gr)	35	var(--c-gr)	40	var(--c-gr)	0	нет_в_книге
--ink			var(--c-ink)	22	var(--c-ink)	35	var(--c-ink)	0	нет_в_книге
--ln			var(--c-ln)	13	var(--c-ln)	10	var(--c-ln)	0	нет_в_книге
--r			20px	19	20px	16	20px	1	нет_в_книге
--sh			0 2px 12px rgba(16,24,40,.06)	13	0 2px 12px rgba(16,24,40,.06)	4		0	нет_в_книге
--zc1			var(--c-g-350)	0		0		0	нет_в_книге
--zc2			var(--c-g-500)	0		0		0	нет_в_книге
