файл	класс	правил_CSS	в_разметке	в_JS	статус
calc	lg	2	0	0	НЕиспользуется
calc	lgs	6	1	0	ok
calc	lim	6	1	0	ok
calc	limbar	15	1	0	много_правил(15)
calc	lk	5	0	0	НЕиспользуется
calc	lkbody	2	0	0	НЕиспользуется
calc	ll	2	1	0	ok
calc	lockttl	2	0	0	НЕиспользуется
calc	lockwrap	8	0	0	НЕиспользуется
calc	lv	4	1	0	ok
calc	lvl	11	1	1	много_правил(11)
calc	lvls	2	1	0	ok
calc	lvnote	3	1	0	ok
calc	lx	1	1	0	ok
calc	method-copy	3	1	0	ok
calc	mid	5	0	0	НЕиспользуется
calc	more	5	0	0	НЕиспользуется
calc	more2	16	1	0	много_правил(16)
calc	n	1	0	0	НЕиспользуется
calc	nb	3	0	0	НЕиспользуется
calc	nh	2	0	0	НЕиспользуется
calc	nm	1	0	0	НЕиспользуется
calc	no-top-line	1	1	0	ok
calc	note	1	0	0	НЕиспользуется
calc	note2	1	0	0	НЕиспользуется
calc	num	1	0	0	НЕиспользуется
calc	off	3	0	1	ok
calc	ok	2	0	0	НЕиспользуется
calc	okmsg	1	0	0	НЕиспользуется
calc	on	48	1	1	много_правил(48)
calc	otherrow	4	0	0	НЕиспользуется
calc	ownnote	3	1	1	ok
calc	paylogos	2	0	0	НЕиспользуется
calc	paywall	2	0	0	НЕиспользуется
calc	pct	2	1	0	ok
calc	pd	1	0	0	НЕиспользуется
calc	pdd	1	0	0	НЕиспользуется
calc	ph	2	0	0	НЕиспользуется
calc	pi	16	0	0	НЕиспользуется
calc	pitems	2	0	0	НЕиспользуется
calc	pl	3	0	0	НЕиспользуется
calc	poll	1	0	0	НЕиспользуется
calc	pollbtn	4	0	0	НЕиспользуется
calc	post-details	3	1	0	ok
calc	post-exclude	2	1	0	ok
calc	post-in2	1	1	0	ok
calc	post-measure-note	3	1	0	ok
calc	post-stage	5	1	0	ok
calc	post-stage-title	3	1	0	ok
calc	post-stages	2	1	0	ok
calc	post-subtitle	1	1	0	ok
calc	price	5	0	0	НЕиспользуется
calc	pricebox	15	0	0	НЕиспользуется
calc	proof-check	8	1	0	много_правил(8)
calc	proof-copy	3	1	0	ok
calc	proof-income	1	0	0	НЕиспользуется
calc	proof-item	3	1	0	ok
calc	pw	110	0	0	НЕиспользуется
calc	pwfoot	2	0	0	НЕиспользуется
calc	q	2	1	0	ok
calc	qd	5	1	0	ok
calc	qf	23	1	1	много_правил(23)
calc	qf-input	3	0	0	НЕиспользуется
calc	qr	9	1	0	много_правил(9)
calc	rad	4	1	0	ok
calc	redo	6	0	0	НЕиспользуется
calc	removable-field-row	6	1	0	ok
calc	reserves-banner	0	1	0	БЕЗ_стиля
calc	rest	3	0	0	НЕиспользуется
calc	row-zero	8	0	1	много_правил(8)
calc	rst-ic	11	0	0	НЕиспользуется
calc	rt	5	0	0	НЕиспользуется
calc	rw	3	0	0	НЕиспользуется
calc	s2d	1	0	0	НЕиспользуется
calc	s2t	1	0	0	НЕиспользуется
calc	salary	4	0	0	НЕиспользуется
calc	save-action	7	1	0	много_правил(7)
calc	save-actions	1	1	0	ok
calc	save-thanks	1	1	0	ok
calc	savebar	3	1	0	ok
calc	sbar	2	0	0	НЕиспользуется
calc	sbox	7	0	0	НЕиспользуется
calc	scmp	2	0	0	НЕиспользуется
calc	sd	1	0	0	НЕиспользуется
calc	sdiff	2	0	0	НЕиспользуется
calc	search-context-conclusion	1	1	0	ok
calc	search-context-highlight	4	1	0	ok
calc	search-context-notice	2	1	0	ok
calc	search-default-note	1	1	0	ok
calc	search-details	0	1	0	БЕЗ_стиля
calc	search-exclude	0	1	0	БЕЗ_стиля
calc	search-task	4	1	0	ok
calc	search-tasks	2	1	0	ok
calc	sect	13	1	0	много_правил(13)
calc	section-banner	6	1	0	ok
calc	section-context-notice	4	1	0	ok
calc	section-copy	3	0	0	НЕиспользуется
calc	section-ending	8	1	0	много_правил(8)
calc	section-main-title	2	1	0	ok
calc	section-point	7	1	0	много_правил(7)
calc	section-point-edit	3	0	0	НЕиспользуется
calc	section-point-highlight	2	0	0	НЕиспользуется
calc	section-point-icon	23	1	0	много_правил(23)
calc	section-point-sber	6	1	0	ok
calc	section-points	6	1	0	ok
calc	section-subtitle	9	1	0	много_правил(9)
calc	section-subtitle-lines	2	0	0	НЕиспользуется
calc	segtip	1	0	0	НЕиспользуется
calc	sh	2	1	1	ok
calc	sh2	1	0	0	НЕиспользуется
calc	shd	1	1	0	ok
calc	sl	1	0	0	НЕиспользуется
calc	sm	1	1	0	ok
calc	sn	1	0	0	НЕиспользуется
calc	software-hint	0	1	0	БЕЗ_стиля
calc	spin	5	1	0	ok
calc	spk	10	0	0	НЕиспользуется
calc	ss	2	1	0	ok
calc	st	2	0	0	НЕиспользуется
calc	st-bad	6	0	0	НЕиспользуется
calc	st-mid	2	0	0	НЕиспользуется
calc	st-ok	3	0	0	НЕиспользуется
calc	st-warn	6	0	0	НЕиспользуется
calc	start-note	2	1	0	ok
calc	start-note-subtitle	2	1	0	ok
calc	start-note-title	4	1	0	ok
calc	stg	2	1	0	ok
calc	stgs	1	1	0	ok
calc	sub	2	1	0	ok
calc	sub2	6	0	0	НЕиспользуется
calc	subhead-rst-row	3	0	1	ok
calc	sv	2	0	0	НЕиспользуется
calc	t	1	0	0	НЕиспользуется
calc	tax-auto-lock	5	0	1	ok
calc	taxdim	6	0	1	ok
calc	taxoff	1	0	0	НЕиспользуется
calc	tbar	21	1	0	много_правил(21)
calc	tbn	1	1	0	ok
calc	three	1	0	0	НЕиспользуется
calc	thx	10	0	0	НЕиспользуется
calc	ti	1	0	0	НЕиспользуется
calc	time-banner	0	1	0	БЕЗ_стиля
calc	time-field	2	1	0	ok
calc	tip	2	0	0	НЕиспользуется
calc	tp	1	1	0	ok
calc	trb	10	1	0	много_правил(10)
calc	trh	2	1	0	ok
calc	tri	2	1	0	ok
calc	trial	5	1	0	ok
calc	trial-mark	1	1	0	ok
calc	trustbar	4	1	0	ok
calc	trustbar-action	6	1	0	ok
calc	trustbar-brand	2	1	0	ok
calc	trustbar-close	4	1	0	ok
calc	trustbar-mark	2	1	0	ok
calc	trustbar-name	2	1	0	ok
calc	trustbar-thanks	1	1	0	ok
calc	trustbar-trial	1	1	0	ok
calc	tt	1	0	0	НЕиспользуется
calc	tw	3	0	0	НЕиспользуется
calc	tw2	3	0	0	НЕиспользуется
calc	tw3	3	0	0	НЕиспользуется
calc	two-col-row	8	1	0	много_правил(8)
calc	un	6	1	1	ok
calc	v	3	0	0	НЕиспользуется
calc	vl	1	0	0	НЕиспользуется
calc	want	1	0	0	НЕиспользуется
calc	warm	1	0	0	НЕиспользуется
calc	warn	3	0	0	НЕиспользуется
calc	warn2	3	0	0	НЕиспользуется
calc	wb	3	0	0	НЕиспользуется
calc	wh	7	1	0	много_правил(7)
calc	why	2	0	0	НЕиспользуется
calc	wide	1	1	0	ok
calc	wk	6	0	0	НЕиспользуется
calc	wlg	2	0	0	НЕиспользуется
calc	workmore-law	3	1	0	ok
calc	workmore-note	4	1	0	ok
calc	workmore-q	1	1	0	ok
calc	workspace-diy-note	0	1	0	БЕЗ_стиля
calc	workspace-home-note	0	1	0	БЕЗ_стиля
calc	workspace-intro	0	1	0	БЕЗ_стиля
calc	workspace-office-note	0	1	0	БЕЗ_стиля
calc	workspace-own-home-flag	1	1	0	ok
calc	workspace-setup-copy	0	1	0	БЕЗ_стиля
calc	wp	1	1	0	ok
calc	zap	24	1	0	много_правил(24)
calc	zaph	2	1	0	ok
calc	zapn	1	1	0	ok
calc	zaprow	16	1	0	много_правил(16)
